Enabler,Indicator,Indicator Weightage,Sub Indicator,Weightage,Question,Statement,Explanation
,Situational Leadership : The ability to choose the right leadership style for the right people and moments to improve performance and achieve better results.,20%,Style Flexibility : Adapting leadership style to the situation.,25%,"Describe a situation where you had to adapt your leadership style. How did you assess team needs, drive performance improvement, communicate effectively, and motivate your team?",Rate yourself on your ability to adapt your leadership style to meet team needs.,"Explanation 1: I adapt my leadership style to meet the needs of my team, providing appropriate guidance and support.
Explanation 2: My leadership style is flexible, assessing the situation to adjust my approach.
Explanation 3: I balance direction, support, and autonomy to motivate my team effectively."
,,,Team Needs Assessment : Understanding and addressing the needs of team members.,20%,,,
,,,Performance Improvement : Driving improvements in team performance.,20%,,,
,,,Communication : Effectively communicating expectations and feedback.,20%,,,
,,,Motivation : Inspiring and motivating team members.,15%,,,
,Prioritization : The ability to understand the level of importance and urgency of tasks and align them with organizational goals for effective decision-making.,20%,Task Assessment : Evaluating the importance and urgency of tasks.,20%,"Explain how you manage multiple priorities. How do you assess task importance, align with goals, allocate resources, manage time, and delegate tasks?",Rate yourself on your ability to manage multiple priorities effectively.,"Explanation 1: I am adept at managing multiple priorities, ensuring tasks are aligned with organizational goals.
Explanation 2: My prioritization skills allow me to assess the importance of tasks, focusing on critical objectives.
Explanation 3: I manage competing priorities by aligning tasks with goals and delegating responsibilities."
,,,Goal Alignment : Ensuring tasks align with overall goals.,20%,,,
,,,Resource Allocation : Efficiently allocating resources to high-priority tasks.,25%,,,
,,,Time Management : Managing time effectively to prioritize tasks.,20%,,,
,,,Delegation : Delegating tasks appropriately based on priority.,15%,,,
Cohesive Team,"Collaboration : The ability to work together with one or more people to complete a project or task, develop ideas or processes, create autonomy, and hold team members accountable to achieve goals.",20%,Team Participation : Active involvement and contribution to team activities.,25%,"Describe a successful team project. How did you ensure active participation, idea sharing, goal alignment, support, and accountability within the team?",Rate yourself on your ability to collaborate effectively in team projects.,"Explanation 1: I excel in fostering collaboration, ensuring all team members actively contribute to achieving goals.
Explanation 2: My collaborative approach promotes a team environment where ideas are freely shared.
Explanation 3: I encourage teamwork by facilitating open communication and ensuring alignment with project objectives."
,,,Idea Sharing : Open exchange of ideas and suggestions.,20%,,,
,,,Goal Alignment : Ensuring team goals are aligned with organizational objectives.,20%,,,
,,,Support : Providing help and support to team members.,20%,,,
,,,Building Trust : Creating an environment where team members trust each other's intentions and capabilities.,15%,,,
,Delegation : The ability to know when and how to redirect tasks and initiatives to other team members with respect and responsibility for achieving results.,20%,Task Identification : Recognizing tasks that can be delegated.,20%,"Share an instance where you effectively delegated tasks. How did you identify tasks to delegate, build trust, communicate expectations, follow up, and empower team members?",Rate yourself on your ability to delegate tasks effectively.,"Explanation 1: I am effective at delegating tasks, identifying the right people for the job.
Explanation 2: My delegation skills involve clear communication and trust in team members’ abilities.
Explanation 3: I delegate strategically, providing support while allowing team members to develop their skills and take initiative."
,,,Showing Trust : Trusting team members to complete tasks effectively.,25%,,,
,,,Clarity : Clearly communicating expectations and responsibilities.,20%,,,
,,,Follow-Up : Monitoring progress and providing feedback.,20%,,,
,,,Empowerment : Empowering team members to take ownership of tasks.,15%,,,
,"Managing Challenging Conversations : The ability to consider how the other person will feel during difficult conversations, giving them time to process emotions and explaining perspectives.",20%,Listen Attentively : Giving the other person your full attention and avoiding interruptions while fully concentrating and understanding the speaker.,25%,"Can you provide an example of managing a challenging conversation? How did you practice active listening, empathy, clarity, patience, and work towards resolution?",Rate yourself on your ability to manage challenging conversations effectively.,"Explanation 1: I handle challenging conversations with empathy and clarity, ensuring a positive resolution.
Explanation 2: My approach involves active listening and patience, enabling me to navigate conflicts effectively.
Explanation 3: I manage discussions by practicing clear communication and working towards resolving issues in a way that strengthens relationships."
,,,Empathy : Understanding and sharing the feelings of others.,20%,,,
,,,Clarity : Clearly expressing thoughts and concerns.,20%,,,
,,,Patience : Allowing time for emotions to be processed.,20%,,,
,,,Conflict Resolution and Reasoning : Working towards a positive outcome with an understanding of the reasons behind decisions.,15%,,,
,"Emotional Intelligence : The ability to understand both your own emotions and the emotions of people around you, recognizing various aspects of your feelings and their impact on team performance.",20%,Self-Awareness : Recognizing and understanding one's own emotions.,20%,"Describe how you used emotional intelligence in a team setting. How did you demonstrate self-awareness, self-regulation, motivation, empathy, and social skills?",Rate yourself on your ability to use emotional intelligence in team settings.,"Explanation 1: I use emotional intelligence to navigate team dynamics, leveraging self-awareness and empathy.
Explanation 2: My emotional intelligence allows me to understand and manage both my emotions and others’, fostering a productive team environment.
Explanation 3: I am attuned to others’ emotions, promoting a collaborative atmosphere and building strong relationships."
,,,Self-Regulation : Managing one's emotions effectively.,20%,,,
,,,Motivation : Being driven to achieve goals despite challenges.,20%,,,
,,,Empathy : Understanding and responding to others' emotions.,25%,,,
,,,Social Skills : Building and maintaining healthy relationships.,15%,,,
,"Team Dynamics : The ability to understand the behavioral impacts between members of any given team as a whole, creating flow and synergy.",20%,Interpersonal Relationships : Building strong connections among team members.,25%,"Explain a time when you influenced team dynamics. How did you build interpersonal relationships, resolve conflicts, foster cohesion, adapt to changes, and provide feedback?",Rate yourself on your ability to influence team dynamics positively.,"Explanation 1: I positively influence team dynamics by fostering interpersonal relationships and resolving conflicts.
Explanation 2: My ability to manage team dynamics involves building trust and providing constructive feedback.
Explanation 3: I promote open communication and adaptability, ensuring that feedback improves team cohesion and effectiveness."
,,,Conflict Resolution : Addressing and resolving conflicts effectively.,20%,,,
,,,Track Progress : Monitoring progress towards goals and holding team members accountable for their responsibilities.,20%,,,
,,,Lead with Energy and Enthusiasm : Demonstrating positive energy and enthusiasm by sharing a clear vision and showing commitment to shared goals.,15%,,,
,,,Constructive Feedback : Giving and receiving constructive feedback.,20%,,,
Coaching Mindset,"Demonstrating Ethics : The ability to follow rules, remain loyal, and tell the truth in the workplace, creating a culture of honesty, psychological safety, and mutual respect.",20%,Integrity : Adherence to moral and ethical principles.,25%,"Describe a situation where you had to uphold ethics in your workplace. How did you demonstrate integrity, loyalty, transparency, respect, and supportiveness?",Rate yourself on your ability to demonstrate ethics in the workplace.,"Explanation 1: I consistently demonstrate ethics by upholding principles of integrity, transparency, and respect.
Explanation 2: My ethical behavior is guided by honesty, loyalty, and supportiveness.
Explanation 3: I prioritize ethical considerations in all decisions, ensuring fairness and integrity in the workplace."
,,,"Adherence to Laws and Regulations : Following all applicable laws, rules, and professional guidelines.",20%,,,
,,,Transparency : Openness and honesty in communication.,20%,,,
,,,"Respect for Confidentiality : Treating others with dignity and consideration, and handling personal data with care.",20%,,,
,,,Supportiveness : Providing help and encouragement to others.,15%,,,
,"Growth Mindset : The ability to thrive on challenges, work hard, and build capacity, continuously developing and expanding one’s comfort zone to grow abilities and resilience.",20%,Challenge Acceptance : Willingness to take on difficult tasks.,25%,"Can you share an example of how you demonstrated a growth mindset? How did you accept challenges, persist, focus on learning, adapt, and show resilience?",Rate yourself on your ability to demonstrate a growth mindset.,"Explanation 1: I embody a growth mindset by embracing challenges and seeking opportunities to learn.
Explanation 2: My growth mindset drives me to view challenges as opportunities for development.
Explanation 3: I cultivate a growth mindset by being open to new experiences, adapting to change, and maintaining a focus on personal and professional growth."
,,,Effort and Persistence : Sustained effort and perseverance in the face of obstacles.,20%,,,
,,,Learning Orientation : Focus on learning and self-improvement.,20%,,,
,,,Adaptability : Ability to adjust to new situations and challenges.,20%,,,
,,,Encouraging Self and Exploring New Ideas : Being open to exploring new ideas and embracing lifelong learning.,15%,,,
,"Intentional Listening : The ability to actively listen, paying attention to the speaker’s message, body language, and feelings, and reflecting on what you heard.",20%,Active Listening : Fully concentrating and understanding the speaker.,25%,"Tell us about a time when you practiced intentional listening. How did you actively listen, show empathy, clarify, acknowledge, and summarize the speaker’s points?",Rate yourself on your ability to practice intentional listening.,"Explanation 1: I practice intentional listening by fully engaging with others, showing empathy, and acknowledging perspectives.
Explanation 2: My listening involves active participation and summarizing to ensure understanding.
Explanation 3: I prioritize intentional listening by being present and empathetic, validating others’ thoughts and feelings."
,,,Empathy : Understanding and sharing the feelings of others.,20%,,,
,,,Clarification : Asking questions to ensure understanding.,20%,,,
,,,Acknowledgment : Recognizing and validating the speaker’s feelings and thoughts.,20%,,,
,,,Summarizing : Effectively summarizing and reflecting the main points.,15%,,,
,"Thought Provoking Awareness : The ability to cause people to think deeply, engage with topics, and come up with alternative solutions willingly.",20%,Questioning : Asking thought-provoking questions.,25%,"Describe how you provoked thoughtful awareness in a discussion. How did you use questioning, engagement, suggest alternative solutions, promote critical thinking, and maintain openness?",Rate yourself on your ability to provoke thoughtful awareness in discussions.,"Explanation 1: I provoke thoughtful awareness by asking insightful questions and promoting critical thinking.
Explanation 2: I foster awareness by engaging others in deep discussions and suggesting alternative viewpoints.
Explanation 3: I encourage thoughtful awareness by facilitating discussions that challenge assumptions and stimulate creative problem-solving."
,,,Engagement : Engaging others in deep and meaningful discussions.,20%,,,
,,,Alternative Solutions : Encouraging consideration of various solutions.,20%,,,
,,,Critical Thinking : Promoting analytical and evaluative thinking.,20%,,,
,,,Openness : Maintaining an open mind to new ideas and perspectives.,15%,,,
,"Partnership : The ability to create a trusting and safe interpersonal environment that supports learning and action to achieve goals, increasing sustainable effectiveness.",20%,Trust Building : Establishing and maintaining trust in relationships.,20%,"Explain a partnership you built at work. How did you establish trust, show mutual respect, collaborate, provide support, and empower others?",Rate yourself on your ability to build and maintain effective partnerships at work.,"Explanation 1: I build effective partnerships by establishing trust and mutual respect.
Explanation 2: My ability to form strong partnerships is rooted in open communication and supportive collaboration.
Explanation 3: I nurture partnerships by focusing on trust-building, fostering mutual respect, and ensuring that collaboration leads to mutually beneficial outcomes."
,,,Mutual Respect : Valuing and respecting others' contributions.,20%,,,
,,,Collaboration : Working together to achieve common goals.,20%,,,
,,,Support : Providing support and encouragement to others.,15%,,,
,,,Empowerment : Enabling others to take ownership and responsibility.,25%,,,
Agility,Adaptability : The ability to change proactively to fit new circumstances and to adjust to new ways of thinking without negative feelings.,20%,Flexibility : Willingness to change approaches and perspectives.,25%,"Can you share a time when you had to adapt quickly to a change? How did you demonstrate flexibility, learning agility, open-mindedness, problem-solving, and a positive attitude?",Rate yourself on your ability to adapt quickly to change.,"Explanation 1: I demonstrate adaptability by quickly adjusting to changes and staying flexible.
Explanation 2: My adaptability allows me to respond effectively to new challenges.
Explanation 3: I thrive in changing environments by being open-minded, learning rapidly, and staying resilient in the face of uncertainty."
,,,Learning Agility : Ability to learn quickly from experience.,20%,,,
,,,Open-Mindedness : Receptiveness to new ideas and approaches.,20%,,,
,,,Emotional Resilience : Effectiveness in resolving new and unexpected issues.,20%,,,
,,,Positive Attitude : Maintaining a positive outlook during change.,15%,,,
,"Facilitating Transformation Rapidly : The ability to ease the process of activating intention, compassion, and being of service to improve workforce skills, tools, and abilities.",20%,Change Management : Effectively managing and leading change initiatives.,25%,"Describe a situation where you facilitated rapid transformation. How did you manage change, communicate, show empathy, provide training, and hold people accountable?",Rate yourself on your ability to facilitate rapid transformation.,"Explanation 1: I excel at facilitating rapid transformation by managing change effectively and ensuring alignment.
Explanation 2: My approach involves leading change initiatives with empathy and holding team members accountable.
Explanation 3: I implement change management strategies, fostering open communication and supporting my team through transitions."
,,,Communication : Clearly communicating changes and expectations.,20%,,,
,,,Empathy : Understanding and addressing the emotional impact of change.,20%,,,
,,,Training and Development : Providing resources and training for skill development.,20%,,,
,,,Others Engagement : Actively involving and gaining the support of key stakeholders and other members throughout the transformation process.,15%,,,
,"Self-Organization : The ability to identify what you intend to accomplish, achieve goals accordingly, and be responsible for key results while continuously improving.",20%,Goal Setting : Setting clear achievable goals.,25%,"Explain how you self-organize to achieve your goals. How do you set goals, manage time, take initiative, continuously improve, and take responsibility?",Rate yourself on your ability to self-organize to achieve your goals.,"Explanation 1: I am highly self-organized, setting clear goals and managing time efficiently.
Explanation 2: My self-organization skills enable me to prioritize tasks and stay on track with objectives.
Explanation 3: I ensure self-organization by reviewing my goals, optimizing time management, and proactively seeking ways to improve productivity."
,,,Initiative : Taking proactive steps to achieve goals and addressing tasks or issues without needing to be prompted.,20%,,,
,,,Continuous Improvement : Consistently seeking ways to improve.,20%,,,
,,,Motivation : Maintaining enthusiasm and drive to achieve personal and team objectives.,15%,,,
,,,Discipline : Staying focused and committed to tasks without external enforcement.,20%,,,
,Value Orientation : The ability to identify the principles of right and wrong that are accepted and enable yourself to work with people of other cultures with respect.,20%,Ethical Behavior/Standards : Adhering to ethical principles in decision-making.,25%,"Describe a time you demonstrated value orientation. How did you show ethical behavior, cultural competence, integrity, respect, and fairness?",Rate yourself on your ability to demonstrate value orientation in your work.,"Explanation 1: I demonstrate value orientation by upholding ethical standards and treating others with integrity.
Explanation 2: My value-oriented approach ensures that my actions reflect ethical behavior and inclusivity.
Explanation 3: I consistently prioritize value orientation, making decisions that reflect ethical principles and respect for diverse perspectives."
,,,Cultural Competence : Understanding and respecting cultural differences.,20%,,,
,,,Collaboration : Working effectively with others to achieve shared goals and create collective value.,20%,,,
,,,Respect : Valuing and considering others' viewpoints.,20%,,,
,,,"Fairness : Ensuring fair, equitable treatment, and opportunities for all.",15%,,,
,Resilience to Change : The ability to make informed decisions based on tangible and intangible data to adapt well in the face of uncertainty or stress.,20%,Stress Management : Effectively managing stress during changes.,25%,"Tell us about a situation where you showed resilience to change. How did you manage stress, adapt quickly, solve problems, maintain a positive mindset, and stay flexible?",Rate yourself on your ability to show resilience to change.,"Explanation 1: I show resilience to change by managing stress, adapting quickly, and maintaining a positive mindset.
Explanation 2: My resilience allows me to navigate change with confidence and flexibility.
Explanation 3: I demonstrate resilience by remaining calm under pressure, adjusting to new circumstances, and maintaining a constructive attitude throughout transitions."
,,,Adaptability : Quickly adapting to new situations.,20%,,,
,,,Problem-Solving : Developing solutions to overcome obstacles.,20%,,,
,,,Positive Mindset : Maintaining a positive outlook during adversity.,20%,,,
,,,Flexibility : Adjusting plans and actions as needed.,15%,,,
